transaction_id,transaction_date,transaction_time,transaction_qty,store_id,product_id
4752,2023-01-09,10:58:40,1,5,54
4758,2023-01-09,11:03:20,1,5,39
4772,2023-01-09,11:29:01,1,8,43
4790,2023-01-09,12:12:40,1,3,30
4812,2023-01-09,12:51:08,2,8,47
4823,2023-01-09,13:32:30,2,8,59
4825,2023-01-09,13:37:11,2,8,35
4826,2023-01-09,13:37:35,1,5,31
4848,2023-01-09,14:26:57,2,3,23
4857,2023-01-09,14:53:18,1,8,33
4893,2023-01-09,16:57:00,1,3,43
4896,2023-01-09,17:15:21,2,8,33
4918,2023-01-09,18:07:54,1,5,44
4919,2023-01-09,18:07:54,1,5,77
4947,2023-01-09,19:40:09,2,5,58
4950,2023-01-09,19:48:46,1,5,44
4974,2023-01-10,6:36:22,1,8,42
4983,2023-01-10,6:42:04,2,8,60
4999,2023-01-10,7:06:34,1,3,38
5013,2023-01-10,7:15:21,2,5,50
5027,2023-01-10,7:20:52,2,3,63
5041,2023-01-10,7:34:12,2,8,43
5045,2023-01-10,7:35:32,2,8,52
5048,2023-01-10,7:37:09,2,8,38
5089,2023-01-10,8:06:30,1,3,49
5098,2023-01-10,8:14:53,1,3,58
5143,2023-01-10,8:37:34,2,3,51
5146,2023-01-10,8:40:13,2,3,45
5175,2023-01-10,8:54:21,1,5,9
5187,2023-01-10,9:03:26,2,3,55
5194,2023-01-10,9:07:42,2,3,64
5196,2023-01-10,9:09:52,1,3,24
5243,2023-01-10,9:42:32,2,8,43
5250,2023-01-10,9:44:51,1,5,14
5290,2023-01-10,10:12:55,1,8,71
5348,2023-01-10,11:12:31,1,3,42
5356,2023-01-10,11:17:03,1,8,54
5370,2023-01-10,11:40:41,2,3,30
5374,2023-01-10,11:55:25,1,5,27
5407,2023-01-10,13:38:16,2,3,58
5507,2023-01-10,16:54:35,2,5,26
5512,2023-01-10,17:08:22,1,8,56
5516,2023-01-10,17:30:37,2,8,49
5525,2023-01-10,18:04:25,2,5,39
5539,2023-01-10,18:44:37,1,3,37
5544,2023-01-10,18:49:59,1,8,51
5546,2023-01-10,18:51:21,1,3,18
5547,2023-01-10,18:51:50,1,8,49
5554,2023-01-10,19:29:19,1,8,24
5595,2023-01-11,6:53:39,2,8,39
5613,2023-01-11,7:07:08,1,5,74
5664,2023-01-11,7:53:53,1,8,34
5677,2023-01-11,8:06:30,1,8,71
5689,2023-01-11,8:20:16,1,3,27
5698,2023-01-11,8:24:04,1,5,27
5699,2023-01-11,8:26:33,1,5,71
5707,2023-01-11,8:31:53,1,3,33
5729,2023-01-11,8:44:48,1,5,31
5730,2023-01-11,8:46:12,1,8,50
5731,2023-01-11,8:47:21,2,3,49
5745,2023-01-11,8:54:15,2,8,84
5773,2023-01-11,9:25:29,2,8,57
5825,2023-01-11,10:04:07,1,8,20
5858,2023-01-11,10:30:03,1,3,60
5865,2023-01-11,10:37:11,2,8,54
5866,2023-01-11,10:39:06,1,3,39
5878,2023-01-11,10:46:04,1,8,82
5886,2023-01-11,10:54:48,1,8,70
5957,2023-01-11,13:22:17,2,5,49
5970,2023-01-11,13:53:58,1,5,51
5988,2023-01-11,14:56:03,2,3,37
5994,2023-01-11,15:05:28,2,8,42
5998,2023-01-11,15:21:27,1,8,63
6000,2023-01-11,15:23:41,2,5,54
6041,2023-01-11,16:44:59,2,8,48
6043,2023-01-11,16:52:31,1,3,58
6051,2023-01-11,17:09:36,1,8,56
6074,2023-01-11,17:55:53,2,3,41
6080,2023-01-11,18:09:19,2,8,30
6097,2023-01-11,18:45:18,2,3,61
6101,2023-01-11,18:59:39,2,8,45
6104,2023-01-11,19:17:53,1,3,45
6146,2023-01-12,6:53:58,2,8,24
6158,2023-01-12,7:01:08,1,8,46
6161,2023-01-12,7:05:37,1,5,70
6179,2023-01-12,7:14:03,2,3,50
6182,2023-01-12,7:17:01,1,3,49
6214,2023-01-12,7:49:59,1,3,74
6215,2023-01-12,7:51:29,2,5,49
6233,2023-01-12,8:13:50,2,8,25
6264,2023-01-12,8:41:34,1,3,23
6269,2023-01-12,8:47:16,1,8,46
6303,2023-01-12,9:11:53,1,3,58
6313,2023-01-12,9:14:52,2,8,42
6333,2023-01-12,9:37:00,1,5,71
6344,2023-01-12,9:46:34,1,3,32
6354,2023-01-12,9:56:54,2,5,60
6365,2023-01-12,10:03:42,2,5,48
6389,2023-01-12,10:24:49,1,5,75
6433,2023-01-12,11:11:41,1,8,64
6475,2023-01-12,13:08:11,1,5,48
6486,2023-01-12,13:34:48,1,8,57
6510,2023-01-12,14:24:25,1,5,69
6514,2023-01-12,14:26:22,1,5,72
6525,2023-01-12,14:49:37,1,8,25
6534,2023-01-12,15:08:18,1,3,37
6570,2023-01-12,16:37:32,1,5,29
6593,2023-01-12,17:22:38,1,8,25
6620,2023-01-12,18:13:15,2,8,52
6623,2023-01-12,18:18:49,1,5,6
6640,2023-01-12,18:55:23,2,8,43
6644,2023-01-12,19:22:09,1,3,65
6645,2023-01-12,19:22:09,2,3,40
6657,2023-01-13,7:02:24,2,5,55
6666,2023-01-13,7:13:50,1,3,65
6674,2023-01-13,7:19:50,1,5,60
6681,2023-01-13,7:25:48,1,5,74
6692,2023-01-13,7:34:36,2,3,36
6696,2023-01-13,7:38:55,1,3,71
6701,2023-01-13,7:43:09,2,5,42
6724,2023-01-13,8:00:09,2,8,51
6732,2023-01-13,8:05:12,2,8,57
6737,2023-01-13,8:06:45,1,8,11
6754,2023-01-13,8:20:23,2,8,87
6756,2023-01-13,8:22:37,1,8,47
6778,2023-01-13,8:33:37,1,8,64
6799,2023-01-13,8:42:10,1,8,79
6835,2023-01-13,8:58:43,2,5,53
6843,2023-01-13,9:02:20,2,5,32
6848,2023-01-13,9:04:45,1,5,23
6884,2023-01-13,9:28:09,1,3,34
6885,2023-01-13,9:28:09,1,3,70
6889,2023-01-13,9:30:05,2,8,28
6911,2023-01-13,9:41:30,2,8,27
6915,2023-01-13,9:42:41,1,8,24
6926,2023-01-13,9:50:49,1,5,63
6944,2023-01-13,10:00:38,2,3,37
6947,2023-01-13,10:02:03,2,5,22
6948,2023-01-13,10:02:57,1,3,45
6953,2023-01-13,10:05:09,2,8,44
6990,2023-01-13,10:30:10,1,5,75
6992,2023-01-13,10:30:19,1,8,77
6999,2023-01-13,10:31:40,1,5,1
7031,2023-01-13,10:46:22,2,8,49
7037,2023-01-13,10:49:59,1,5,30
7056,2023-01-13,11:36:10,1,5,22
7077,2023-01-13,12:12:30,2,3,31
7087,2023-01-13,12:25:56,2,5,64
7107,2023-01-13,13:07:18,1,5,74
7118,2023-01-13,13:52:33,2,3,39
7138,2023-01-13,14:47:07,1,3,59
7168,2023-01-13,15:46:06,2,5,48
7170,2023-01-13,15:57:49,1,3,36
7193,2023-01-13,16:37:25,1,5,29
7204,2023-01-13,17:07:44,2,5,54
7207,2023-01-13,17:20:05,2,8,27
7237,2023-01-13,18:11:40,1,3,84
7254,2023-01-13,19:06:14,2,3,38
7294,2023-01-14,7:43:02,2,5,39
7308,2023-01-14,8:03:04,2,5,58
7316,2023-01-14,8:06:41,1,8,78
7326,2023-01-14,8:10:25,2,3,44
7348,2023-01-14,8:17:48,1,5,79
7368,2023-01-14,8:26:16,2,5,24
7500,2023-01-14,9:34:18,2,3,54
7526,2023-01-14,9:43:17,2,8,53
7548,2023-01-14,9:58:07,1,3,35
7549,2023-01-14,9:58:16,2,8,27
7582,2023-01-14,10:15:26,2,8,59
7583,2023-01-14,10:15:26,1,8,79
7584,2023-01-14,10:15:56,1,3,28
7613,2023-01-14,10:38:47,1,8,71
7650,2023-01-14,11:04:18,2,3,63
7654,2023-01-14,11:11:59,1,5,40
7656,2023-01-14,11:13:09,1,5,27
7682,2023-01-14,12:50:56,1,5,30
7697,2023-01-14,13:17:34,1,5,81
7698,2023-01-14,13:19:23,1,3,60
7709,2023-01-14,13:52:27,1,8,28
7756,2023-01-14,16:15:54,1,8,36
7763,2023-01-14,16:27:23,1,5,78
7771,2023-01-14,16:48:46,1,8,72
7777,2023-01-14,17:17:52,2,3,28
7784,2023-01-14,17:30:44,1,5,70
7800,2023-01-14,17:50:50,2,8,45
7816,2023-01-14,18:27:31,1,5,73
7836,2023-01-14,19:38:23,1,3,84
7844,2023-01-14,19:53:36,1,8,25
7870,2023-01-15,6:30:51,2,8,56
7871,2023-01-15,6:33:14,1,5,61
7884,2023-01-15,6:55:21,2,5,64
7893,2023-01-15,7:05:46,1,5,87
7918,2023-01-15,7:30:36,1,5,48
7929,2023-01-15,7:34:30,1,3,84
7937,2023-01-15,7:39:56,1,8,71
7956,2023-01-15,7:50:41,2,3,51
7964,2023-01-15,7:51:52,1,8,73
7966,2023-01-15,7:53:37,1,8,76
7989,2023-01-15,8:12:26,2,8,55
7997,2023-01-15,8:23:06,1,8,26
7999,2023-01-15,8:23:47,1,8,61
8017,2023-01-15,8:41:10,1,8,49
8018,2023-01-15,8:42:10,2,8,49
8051,2023-01-15,9:04:26,1,5,44
8092,2023-01-15,9:34:23,2,8,59
8094,2023-01-15,9:34:27,1,8,65
8106,2023-01-15,9:40:12,1,8,65
8119,2023-01-15,9:51:00,1,3,10
8139,2023-01-15,9:56:54,1,8,79
8146,2023-01-15,9:59:52,2,5,63
8162,2023-01-15,10:08:24,1,5,57
8168,2023-01-15,10:11:09,3,5,54
8175,2023-01-15,10:13:41,1,3,38
8176,2023-01-15,10:13:41,2,3,65
8182,2023-01-15,10:15:21,1,3,76
8197,2023-01-15,10:28:27,1,5,31
8205,2023-01-15,10:34:04,2,3,40
8215,2023-01-15,10:38:46,1,5,29
8237,2023-01-15,10:52:34,1,3,76
8279,2023-01-15,11:28:53,1,3,39
8294,2023-01-15,12:12:11,2,8,57
8297,2023-01-15,12:15:14,1,8,59
8305,2023-01-15,12:25:31,2,5,63
8306,2023-01-15,12:25:57,2,3,56
8307,2023-01-15,12:28:20,2,3,35
8310,2023-01-15,12:29:41,1,5,76
8354,2023-01-15,14:00:24,1,8,42
8365,2023-01-15,14:09:36,1,8,21
8381,2023-01-15,14:50:20,1,3,24
8388,2023-01-15,15:12:06,1,3,81
8425,2023-01-15,16:41:49,1,5,79
8430,2023-01-15,16:50:58,2,5,64
8447,2023-01-15,17:18:20,2,3,36
8458,2023-01-15,17:30:44,1,8,59
8462,2023-01-15,17:49:03,2,8,61
8472,2023-01-15,18:18:51,1,3,30
8478,2023-01-15,18:24:59,1,3,48
8500,2023-01-15,19:29:05,1,8,31
8516,2023-01-15,19:57:05,2,3,42
8522,2023-01-16,6:11:55,2,5,84
8534,2023-01-16,6:45:42,1,8,79
8537,2023-01-16,6:47:40,1,5,64
8539,2023-01-16,6:55:54,1,8,24
8545,2023-01-16,6:57:42,1,5,77
8552,2023-01-16,7:03:19,1,3,39
8558,2023-01-16,7:04:43,1,8,59
8564,2023-01-16,7:11:08,1,5,44
8567,2023-01-16,7:13:46,1,3,37
8572,2023-01-16,7:15:28,1,8,53
8576,2023-01-16,7:17:45,2,8,40
8593,2023-01-16,7:31:48,1,5,49
8603,2023-01-16,7:35:33,1,8,61
8606,2023-01-16,7:42:31,1,3,60
8617,2023-01-16,7:47:09,1,5,69
8620,2023-01-16,7:49:41,2,5,35
8626,2023-01-16,7:50:48,2,3,59
8634,2023-01-16,7:54:36,2,8,59
8671,2023-01-16,8:20:34,1,3,37
8679,2023-01-16,8:25:37,2,8,29
8697,2023-01-16,8:38:34,1,3,56
8714,2023-01-16,8:55:58,2,8,44
8717,2023-01-16,8:57:25,2,8,25
8750,2023-01-16,9:11:09,2,8,24
8752,2023-01-16,9:11:10,1,3,70
8754,2023-01-16,9:12:42,1,5,48
8791,2023-01-16,9:42:49,1,8,12
8809,2023-01-16,9:55:10,2,3,50
8814,2023-01-16,10:00:20,1,3,78
8832,2023-01-16,10:10:26,1,3,53
8841,2023-01-16,10:20:12,1,8,29
8847,2023-01-16,10:23:01,1,8,38
8859,2023-01-16,10:32:42,1,8,71
8863,2023-01-16,10:34:02,2,3,31
8883,2023-01-16,10:48:18,1,5,29
8884,2023-01-16,10:49:06,2,3,60
8905,2023-01-16,11:02:09,2,5,51
8908,2023-01-16,11:06:00,1,8,72
8924,2023-01-16,11:21:26,2,5,42
8927,2023-01-16,11:25:32,1,5,53
8930,2023-01-16,11:33:41,1,5,70
8951,2023-01-16,12:28:53,2,8,26
8955,2023-01-16,12:39:16,2,3,34
8974,2023-01-16,13:25:39,2,8,37
8978,2023-01-16,13:35:14,1,3,51
8989,2023-01-16,13:54:07,1,3,74
8997,2023-01-16,14:18:38,1,8,59
9005,2023-01-16,14:24:45,1,8,26
9015,2023-01-16,14:47:49,2,5,44
9043,2023-01-16,15:49:05,1,5,43
9046,2023-01-16,15:49:19,1,3,55
9064,2023-01-16,16:27:47,1,8,87
9093,2023-01-16,17:25:44,2,8,29
9123,2023-01-16,18:53:37,1,8,52
9126,2023-01-16,18:57:52,2,3,33
9138,2023-01-16,19:42:33,2,8,27
9142,2023-01-16,19:57:11,2,8,45
9146,2023-01-17,6:01:54,1,5,75
9172,2023-01-17,6:43:53,1,5,35
9197,2023-01-17,7:16:21,2,8,63
9211,2023-01-17,7:30:25,1,5,51
9225,2023-01-17,7:35:53,2,3,49
9252,2023-01-17,7:54:47,2,8,61
9261,2023-01-17,7:59:31,2,8,22
9268,2023-01-17,8:06:33,2,3,56
9269,2023-01-17,8:07:38,2,3,28
9278,2023-01-17,8:13:56,2,3,56
9291,2023-01-17,8:28:35,1,8,39
9332,2023-01-17,8:59:09,1,5,23
9335,2023-01-17,9:03:35,1,3,33
9357,2023-01-17,9:28:04,2,5,49
9369,2023-01-17,9:40:36,2,3,25
9370,2023-01-17,9:41:51,1,8,27
9402,2023-01-17,9:59:35,1,5,71
9405,2023-01-17,10:00:55,1,8,70
9411,2023-01-17,10:09:49,2,3,41
9415,2023-01-17,10:09:58,1,5,64
9422,2023-01-17,10:13:09,1,3,74
9429,2023-01-17,10:17:05,1,3,83
9449,2023-01-17,10:30:25,1,3,46
9495,2023-01-17,10:54:04,2,8,87
9500,2023-01-17,11:01:53,2,5,54
9501,2023-01-17,11:10:28,1,3,34
9520,2023-01-17,11:52:32,2,8,87
9544,2023-01-17,12:54:42,1,3,51
9556,2023-01-17,13:18:07,1,8,43
9560,2023-01-17,13:26:01,1,3,48
9562,2023-01-17,13:28:32,1,3,4
9636,2023-01-17,17:11:10,2,5,63
9646,2023-01-17,17:38:32,1,3,73
9648,2023-01-17,17:40:13,1,3,72
9653,2023-01-17,17:54:58,1,8,53
9655,2023-01-17,18:08:24,2,3,50
9673,2023-01-17,19:43:33,1,3,49
9674,2023-01-17,19:45:12,2,3,49
9679,2023-01-18,6:05:54,2,5,23
9689,2023-01-18,6:34:09,1,8,70
9713,2023-01-18,7:09:22,1,3,40
9723,2023-01-18,7:13:45,2,3,23
9746,2023-01-18,7:28:43,2,5,37
9748,2023-01-18,7:29:48,1,8,34
9752,2023-01-18,7:31:57,1,3,47
9756,2023-01-18,7:34:01,2,5,53
9767,2023-01-18,7:40:30,1,3,70
9768,2023-01-18,7:42:54,1,5,32
9769,2023-01-18,7:43:58,1,5,22
9774,2023-01-18,7:51:11,2,3,36
9777,2023-01-18,7:51:23,1,8,76
9786,2023-01-18,7:58:08,2,8,56
9844,2023-01-18,8:42:45,2,8,60
9856,2023-01-18,8:54:29,2,8,47
9872,2023-01-18,9:07:35,1,5,41
9896,2023-01-18,9:25:27,1,5,75
9933,2023-01-18,9:50:35,1,3,57
9946,2023-01-18,9:57:02,1,3,73
9952,2023-01-18,10:01:20,1,3,54
9958,2023-01-18,10:04:20,1,5,61
